,values
ACTL6B_meth,-1.6698762e-10
KCNJ8_meth,0.037209235
PAX9_meth,-0.002004809
ADH7_meth,0.2600999
FPR2_meth,0.024605695
CHRDL1_meth,1.9477689e-10
HOXA10_meth,7.2415037e-07
BOLA2B_meth,1.4668559e-05
SLC24A4_meth,-0.0014555192
DSC3_meth,-1.2641293e-07
PRRX1_meth,-0.089028895
OLIG2_meth,-1.6764298e-09
GDNF_meth,0.91481435
EYA1_meth,-0.09314363
GDF7_meth,-0.19890432
CRABP1_meth,-6.5190443e-07
GPR151_meth,0.051537912
SP100_meth,0.0009069619
TACR3_meth,0.004048582
TCHH_meth,-0.00010306714
LRRC7_meth,-9.3914165e-09
LGALS1_meth,-0.017282888
MYOZ2_meth,4.1124235e-08
LGALS13_meth,0.0003569719
ALX4_meth,-2.4386502e-06
KLK15_meth,0.009311326
SLC7A3_meth,0.0001733637
HOXA9_meth,9.86496e-05
MEF2C_meth,-0.15717597
ASCL1_meth,0.07963913
CR1L_meth,0.0047631217
DGKK_meth,9.775398e-05
BEX4_meth,0.33563247
CASP1_meth,-0.077398576
CYP2U1_meth,0.00031633957
PLCXD3_meth,0.00019161672
ZC3H12D_meth,0.0005944877
ANGPT2_meth,0.020147152
CCL3_meth,-0.0017318885
OLAH_meth,0.00012230744
PCSK2_meth,-0.0027862757
CHST2_meth,0.0018616598
MTRNR2L1_meth,-0.00033412868
SERPINB13_meth,-0.00031060603
PDPN_meth,-0.09562582
HOXA7_meth,-0.00041927907
USP2_meth,-0.0014104502
EBF2_meth,0.13619998
EPPIN_meth,0.028754173
RSPO3_meth,0.22119752
DLX5_meth,4.14189e-07
SRD5A2_meth,0.031797122
GHR_meth,-0.1389424
AZU1_meth,-0.18994182
LEF1_meth,-0.12636545
OXTR_meth,0.014867697
CH25H_meth,-0.00094323035
ANGPTL1_meth,-1.8689683e-08
GLRB_meth,-0.0003140464
KRT15_meth,-1.7473294e-11
HBQ1_meth,-1.21282845e-11
UCP1_meth,0.018790327
EDNRB_meth,0.19473016
GALT_meth,-1.2468324e-06
GOLM1_meth,-0.0003035259
SIX6_meth,2.8558275e-10
SOX1_meth,2.0184363e-09
SPX_meth,0.07392731
PTGER3_meth,0.004515157
PRSS1_meth,-0.047438424
HLX_meth,-0.05457617
ADAMTS3_meth,0.0005317713
EN2_meth,-1.7656647e-11
RORB_meth,-0.030053748
LIPH_meth,0.0002874295
C1QL1_meth,8.246093e-11
FOXC2_meth,-0.00020009677
RAB25_meth,-0.023299903
VMP1_meth,8.9269415e-05
CFAP54_meth,1.2469538e-11
TACSTD2_meth,-0.2237032
HOXD8_meth,-4.3429224e-10
RGS17_meth,0.03356098
MOS_meth,0.0070222868
SOX15_meth,1.4685662e-07
DPY19L2_meth,0.0031750621
FOXE3_meth,0.01616658
DRGX_meth,6.240748e-08
PCK1_meth,0.030376207
TBX18_meth,0.003933462
CPAMD8_meth,-8.103415e-11
ITGAL_meth,2.5446877e-06
NLRP10_meth,-2.4932513e-07
OLIG3_meth,2.2311976e-06
HOXB3_meth,0.0002365858
SLC16A12_meth,6.2300234e-05
BRINP1_meth,0.16438025
HLF_meth,0.00047679382
PDGFRA_meth,-0.033784598
UTS2R_meth,-0.000544499
CPZ_meth,-9.95216e-07
LAMA1_meth,-0.014966302
S100A10_meth,-1.1770772e-09
DSG3_meth,-1.0101448e-06
CHSY3_meth,-0.014881971
L1TD1_meth,0.0019558962
GPR139_meth,6.1795945e-05
MDGA2_meth,1.2083381e-08
MIA_meth,0.17611459
ICAM5_meth,-6.852125e-09
GABRG1_meth,0.0033799142
UGT2B11_meth,0.033762928
NEFL_meth,-0.039157275
CALB1_meth,3.205045e-08
ALOX15_meth,0.021038648
ADAMTS19_meth,0.002107631
SLC1A5_meth,-1.7180708e-05
WNT16_meth,0.5766586
RFTN2_meth,0.024924437
TAS2R9_meth,0.0026129382
S100A2_meth,-2.2350321e-05
IL21_meth,-0.12076547
SHISA9_meth,-0.011903205
CLIP3_meth,0.009000188
ABCA10_meth,1.2182684e-08
EOMES_meth,0.053532552
TRHDE_meth,0.0043732524
SDC4_meth,-1.1712683e-06
CHRM2_meth,-0.0005206002
NEFH_meth,6.877426e-10
S100A11_meth,2.3044149e-07
HTR1A_meth,0.00033043802
MYCT1_meth,1.2992537e-06
HBA1_meth,0.016563071
FADS1_meth,0.00017376945
CACNG3_meth,0.0032372863
GALR1_meth,1.9044117e-08
GPR32_meth,0.0005500998
POU4F3_meth,-4.0306045e-08
FBLL1_meth,-7.046299e-06
PLVAP_meth,-2.121869e-09
RSPO4_meth,-1.1977237e-08
HRH1_meth,-0.017935222
LMX1A_meth,-3.1663865e-09
PRDM14_meth,0.33190435
CCNA1_meth,-9.8952305e-06
MGP_meth,-0.00045102628
ABCC3_meth,9.322186e-10
COX4I2_meth,0.0037957132
POPDC3_meth,5.397277e-10
KCNA1_meth,-0.00030396917
PRKCB_meth,-0.053667057
ABCB1_meth,0.067771524
GRIA3_meth,4.4889663e-07
ST6GAL2_meth,0.0054995925
FUT4_meth,-0.0017758498
SIX3_meth,-0.08150831
SLC22A16_meth,-3.7603768e-05
RNASE6_meth,0.0034688623
TAF1B_meth,0.0023504177
FBXO17_meth,0.0003751541
WASF3_meth,-0.07507869
GOLGA8A_meth,-1.7855658e-09
GAD2_meth,-4.3062428e-06
TNFSF13B_meth,-0.11191579
RNF19A_meth,-0.001210533
P2RX2_meth,0.004150419
CERKL_meth,0.00015193448
COL11A1_meth,0.0001952212
GRM1_meth,0.0001804077
LHX3_meth,0.16392931
BNC1_meth,-0.07017784
MAP1LC3B2_meth,0.02066598
TFAP2B_meth,0.0074151047
